endpoint,operation,data_size,time
server,decrypt,288,10
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,10
server,encrypt,288,8
client,decrypt,288,10
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,10
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,10
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,10
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,10
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,10
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,15
client,encrypt,288,9
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,10
server,encrypt,288,8
client,decrypt,288,10
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,10
server,encrypt,288,8
client,decrypt,288,13
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,14
client,encrypt,288,8
server,decrypt,288,10
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,10
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,8
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,14
server,encrypt,288,7
client,decrypt,288,8
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,8
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,8
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,10
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,8
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,9
server,decrypt,288,10
server,encrypt,288,11
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,10
server,encrypt,288,8
client,decrypt,288,8
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,14
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,8
client,encrypt,288,8
server,decrypt,288,23
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,8
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,10
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,10
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,11
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,8
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,10
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,10
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,9
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,10
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,8
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,8
client,encrypt,288,7
server,decrypt,288,10
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,10
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,8
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,9
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,12
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,17
server,encrypt,288,7
client,decrypt,288,22
client,encrypt,288,8
server,decrypt,288,14
server,encrypt,288,12
client,decrypt,288,13
client,encrypt,288,8
server,decrypt,288,14
server,encrypt,288,11
client,decrypt,288,10
client,encrypt,288,12
server,decrypt,288,13
server,encrypt,288,7
client,decrypt,288,16
client,encrypt,288,7
server,decrypt,288,14
server,encrypt,288,13
client,decrypt,288,14
client,encrypt,288,7
server,decrypt,288,16
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,17
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,15
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,8
client,encrypt,288,7
server,decrypt,288,11
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,11
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,13
client,encrypt,288,11
server,decrypt,288,16
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,13
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,10
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,8
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,10
server,encrypt,288,8
client,decrypt,288,10
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,14
client,encrypt,288,10
server,decrypt,288,10
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,9
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,14
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,10
client,decrypt,288,8
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,10
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,11
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,10
client,encrypt,288,7
server,decrypt,288,10
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,10
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,10
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,14
server,encrypt,288,7
client,decrypt,288,14
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,10
server,encrypt,288,12
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,18
client,encrypt,288,9
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,10
client,encrypt,288,7
server,decrypt,288,18
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,8
client,encrypt,288,8
server,decrypt,288,10
server,encrypt,288,8
client,decrypt,288,15
client,encrypt,288,12
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,18
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,8
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,8
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,10
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,25
server,encrypt,288,8
client,decrypt,288,10
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,10
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,13
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,13
client,encrypt,288,9
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,15
server,encrypt,288,8
client,decrypt,288,10
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,10
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,10
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,10
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,10
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,8
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,8
client,encrypt,288,8
server,decrypt,288,10
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,10
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,10
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,10
server,encrypt,288,8
client,decrypt,288,8
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,18
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,10
client,encrypt,288,7
server,decrypt,288,8
server,encrypt,288,8
client,decrypt,288,10
client,encrypt,288,9
server,decrypt,288,10
server,encrypt,288,7
client,decrypt,288,8
client,encrypt,288,8
server,decrypt,288,10
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,10
server,encrypt,288,11
client,decrypt,288,16
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,9
client,decrypt,288,10
client,encrypt,288,8
server,decrypt,288,8
server,encrypt,288,8
client,decrypt,288,10
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,8
client,encrypt,288,7
server,decrypt,288,23
server,encrypt,288,7
client,decrypt,288,8
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,10
server,encrypt,288,7
client,decrypt,288,10
client,encrypt,288,8
server,decrypt,288,19
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,10
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,10
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,10
client,encrypt,288,9
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,8
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,8
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,10
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,8
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,14
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,8
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,8
client,encrypt,288,8
server,decrypt,288,10
server,encrypt,288,7
client,decrypt,288,10
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,8
client,encrypt,288,8
server,decrypt,288,10
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,8
server,encrypt,288,7
client,decrypt,288,8
client,encrypt,288,8
server,decrypt,288,19
server,encrypt,288,7
client,decrypt,288,10
client,encrypt,288,8
server,decrypt,288,10
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,10
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,10
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,8
server,encrypt,288,8
client,decrypt,288,8
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,8
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,10
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,10
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,10
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,9
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,8
client,encrypt,288,8
server,decrypt,288,10
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,9
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,12
client,decrypt,288,22
client,encrypt,288,8
server,decrypt,288,15
server,encrypt,288,8
client,decrypt,288,14
client,encrypt,288,8
server,decrypt,288,13
server,encrypt,288,9
client,decrypt,288,12
client,encrypt,288,8
server,decrypt,288,8
server,encrypt,288,7
client,decrypt,288,14
client,encrypt,288,8
server,decrypt,288,17
server,encrypt,288,8
client,decrypt,288,13
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,14
server,encrypt,288,11
client,decrypt,288,9
client,encrypt,288,9
server,decrypt,288,10
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,8
server,decrypt,288,9
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,7
server,decrypt,288,8
server,encrypt,288,7
client,decrypt,288,10
client,encrypt,288,7
server,decrypt,288,10
server,encrypt,288,8
client,decrypt,288,9
client,encrypt,288,9
server,decrypt,288,9
server,encrypt,288,7
client,decrypt,288,9
client,encrypt,288,9
server,decrypt,288,9
