operation,msglen,cycles,time
verify,512,23337,9
hash,512,12965,4
verify,512,15558,6
hash,512,12965,5
verify,512,18151,6
hash,512,12965,5
verify,512,15558,6
hash,512,10372,4
verify,512,12965,6
hash,512,12965,4
verify,512,15558,5
hash,512,10372,5
verify,512,15558,6
hash,512,10372,5
verify,512,15558,5
hash,512,10372,5
verify,512,15558,6
hash,512,10372,5
verify,512,15558,6
hash,512,10372,5
verify,512,15558,5
hash,512,12965,4
verify,512,18151,6
hash,512,12965,4
verify,512,18151,6
hash,512,12965,4
verify,512,15558,6
hash,512,12965,4
verify,512,15558,6
hash,512,10372,5
verify,512,15558,6
hash,512,10372,5
verify,512,18151,6
hash,512,10372,5
verify,512,15558,6
hash,512,12965,4
verify,512,15558,6
hash,512,12965,5
verify,512,15558,6
hash,512,10372,5
verify,512,15558,6
hash,512,12965,4
verify,512,15558,5
hash,512,10372,4
verify,512,15558,6
hash,512,12965,4
verify,512,18151,6
hash,512,12965,5
verify,512,15558,6
hash,512,10372,5
verify,1024,23337,8
hash,1024,18151,7
verify,1024,20744,9
hash,1024,18151,6
verify,1024,20744,9
hash,1024,15558,7
verify,1024,20744,9
hash,1024,18151,7
verify,1024,23337,8
hash,1024,18151,7
verify,1024,20744,8
hash,1024,18151,7
verify,1024,23337,8
hash,1024,18151,7
verify,1024,23337,8
hash,1024,18151,7
verify,1024,23337,8
hash,1024,18151,6
verify,1024,23337,8
hash,1024,18151,6
verify,1024,20744,8
hash,1024,18151,7
verify,1024,23337,8
hash,1024,18151,7
verify,1024,23337,8
hash,1024,18151,6
verify,1024,20744,8
hash,1024,18151,7
verify,1024,23337,9
hash,1024,18151,7
verify,1024,20744,9
hash,1024,18151,7
verify,1024,20744,8
hash,1024,18151,7
verify,1024,20744,8
hash,1024,18151,7
verify,1024,23337,8
hash,1024,18151,7
verify,1024,23337,8
hash,1024,18151,7
verify,1024,23337,8
hash,1024,18151,7
verify,1024,23337,8
hash,1024,18151,7
verify,1024,23337,8
hash,1024,18151,7
verify,1024,23337,8
hash,1024,18151,6
verify,1024,23337,8
hash,1024,18151,7
verify,2048,36302,13
hash,2048,28523,11
verify,2048,33709,13
hash,2048,31116,11
verify,2048,33709,13
hash,2048,31116,11
verify,2048,33709,12
hash,2048,28523,12
verify,2048,33709,13
hash,2048,31116,12
verify,2048,33709,13
hash,2048,31116,11
verify,2048,33709,13
hash,2048,28523,11
verify,2048,33709,12
hash,2048,28523,12
verify,2048,33709,13
hash,2048,31116,11
verify,2048,33709,13
hash,2048,28523,11
verify,2048,33709,13
hash,2048,31116,11
verify,2048,33709,12
hash,2048,28523,11
verify,2048,62232,23
hash,2048,57046,21
verify,2048,33709,12
hash,2048,31116,11
verify,2048,36302,13
hash,2048,28523,12
verify,2048,33709,13
hash,2048,28523,11
verify,2048,33709,13
hash,2048,31116,11
verify,2048,33709,13
hash,2048,31116,11
verify,2048,33709,13
hash,2048,62232,25
verify,2048,31116,13
hash,2048,116685,45
verify,2048,33709,13
hash,2048,28523,11
verify,2048,36302,13
hash,2048,28523,11
verify,2048,33709,12
hash,2048,31116,11
verify,2048,33709,12
hash,2048,28523,11
verify,2048,33709,13
hash,2048,28523,12
