endpoint,operation,data_size,time
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,1
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,1
server,decrypt,288,2
server,encrypt,288,1
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,1
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,1
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,1
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,3
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,1
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,1
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,3
server,decrypt,288,1
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,1
server,encrypt,288,2
client,decrypt,288,3
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,1
client,encrypt,288,3
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,4
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,4
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,3
server,decrypt,288,3
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,3
server,decrypt,288,2
server,encrypt,288,4
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,3
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,3
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,3
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,1
client,encrypt,288,2
server,decrypt,288,12
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,3
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,3
server,encrypt,288,3
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,1
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,3
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,3
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,3
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,1
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,3
server,encrypt,288,2
client,decrypt,288,1
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,1
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,3
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,3
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,1
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,3
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,3
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,1
server,encrypt,288,3
client,decrypt,288,2
client,encrypt,288,1
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,3
client,encrypt,288,2
server,decrypt,288,1
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,1
server,encrypt,288,2
client,decrypt,288,3
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,3
server,encrypt,288,3
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,3
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,1
client,decrypt,288,1
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
client,encrypt,288,3
server,decrypt,288,2
server,encrypt,288,3
client,decrypt,288,2
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,1
client,encrypt,288,2
server,decrypt,288,2
server,encrypt,288,2
client,decrypt,288,2
