endpoint,operation,msglen,time
client,hash,4096,25
server,verify,4096,25
server,hash,4096,22
client,verify,4096,25
client,hash,4096,22
server,verify,4096,26
server,hash,4096,23
client,verify,4096,24
client,hash,4096,22
server,verify,4096,25
server,hash,4096,24
client,verify,4096,26
client,hash,4096,22
server,verify,4096,24
server,hash,4096,22
client,verify,4096,25
client,hash,4096,22
server,verify,4096,25
server,hash,4096,23
client,verify,4096,26
client,hash,8192,41
server,verify,8192,44
server,hash,8192,41
client,verify,8192,44
client,hash,8192,41
server,verify,8192,61
server,hash,8192,48
client,verify,8192,44
client,hash,8192,41
server,verify,8192,44
server,hash,8192,41
client,verify,8192,44
client,hash,8192,41
server,verify,8192,43
server,hash,8192,41
client,verify,8192,43
client,hash,8192,42
server,verify,8192,44
server,hash,8192,40
client,verify,8192,44
client,hash,16384,106
server,verify,16384,83
server,hash,16384,100
client,verify,16384,80
client,hash,16384,76
server,verify,16384,82
server,hash,16384,78
client,verify,16384,85
client,hash,16384,78
server,verify,16384,81
server,hash,16384,77
client,verify,16384,80
client,hash,16384,76
server,verify,16384,82
server,hash,16384,76
client,verify,16384,85
client,hash,16384,76
server,verify,16384,81
server,hash,16384,77
client,verify,16384,78
