endpoint,operation,msglen,time
client,hash,256,10
server,verify,256,10
server,hash,256,9
client,verify,256,11
client,hash,256,9
server,verify,256,10
server,hash,256,10
client,verify,256,11
client,hash,256,9
server,verify,256,11
server,hash,256,9
client,verify,256,10
client,hash,256,10
server,verify,256,10
server,hash,256,9
client,verify,256,12
client,hash,256,8
server,verify,256,11
server,hash,256,9
client,verify,256,11
client,hash,256,8
server,verify,256,10
server,hash,256,8
client,verify,256,10
client,hash,256,8
server,verify,256,10
server,hash,256,9
client,verify,256,10
client,hash,256,9
server,verify,256,10
server,hash,256,9
client,verify,256,11
client,hash,256,9
server,verify,256,17
server,hash,256,9
client,verify,256,10
client,hash,256,8
server,verify,256,10
server,hash,256,9
client,verify,256,11
client,hash,256,10
server,verify,256,10
server,hash,256,10
client,verify,256,19
client,hash,256,8
server,verify,256,11
server,hash,256,9
client,verify,256,11
client,hash,256,8
server,verify,256,16
server,hash,256,9
client,verify,256,11
client,hash,256,15
server,verify,256,15
server,hash,256,9
client,verify,256,10
client,hash,256,13
server,verify,256,11
server,hash,256,9
client,verify,256,10
client,hash,256,9
server,verify,256,10
server,hash,256,14
client,verify,256,11
client,hash,256,9
server,verify,256,10
server,hash,256,9
client,verify,256,11
client,hash,256,9
server,verify,256,16
server,hash,256,15
client,verify,256,10
client,hash,256,9
server,verify,256,16
server,hash,256,9
client,verify,256,10
client,hash,256,9
server,verify,256,11
server,hash,256,9
client,verify,256,10
client,hash,256,9
server,verify,256,11
server,hash,256,10
client,verify,256,10
client,hash,256,12
server,verify,256,10
server,hash,256,9
client,verify,256,11
client,hash,256,10
server,verify,256,10
server,hash,256,9
client,verify,256,11
client,hash,256,9
server,verify,256,10
server,hash,256,9
client,verify,256,10
client,hash,256,10
server,verify,256,10
server,hash,256,9
client,verify,256,11
client,hash,256,10
server,verify,256,10
server,hash,256,15
client,verify,256,10
client,hash,256,8
server,verify,256,10
server,hash,256,9
client,verify,256,11
client,hash,256,9
server,verify,256,11
server,hash,256,9
client,verify,256,11
client,hash,256,9
server,verify,256,10
server,hash,256,13
client,verify,256,11
client,hash,256,10
server,verify,256,10
server,hash,256,9
client,verify,256,11
